,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
953,Europe Racer,Davilex,Infogrames,Unreleased,"September 14, 2001",Unreleased,
954,European Super League,Coyote Developments Ltd,Virgin Interactive Entertainment,Unreleased,"March 2, 2001",Unreleased,
955,EVE The Fatal Attraction,C's Ware,NetVillage,"September 27, 2001",Unreleased,Unreleased,
956,EVE: The Lost One,TOSE,Imadio,"December 23, 1998",Unreleased,Unreleased,
957,Eve Zero,C's Ware,NetVillage,"March 30, 2000",Unreleased,Unreleased,
958,Evergreen Avenue,Vridge,Datam Polystar,"September 13, 2001",Unreleased,Unreleased,
959,Everybody's GolfPAL•Hot Shots GolfNA•Minna no GolfJP,Camelot Software,SCEE,"July 17, 1997","June 1, 1998","April 30, 1998",
960,Everybody's Golf 2PAL•Hot Shots Golf 2NA,Clap Hanz,SCEE,"July 29, 1999","July 24, 2000","March 7, 2000",
961,Every Child Can Succeed 1,Lightspan,Lightspan,Unreleased,Unreleased,1998,
962,Every Child Can Succeed 2,Lightspan,Lightspan,Unreleased,Unreleased,1998,
963,Every Child Can Succeed 3,Lightspan,Lightspan,Unreleased,Unreleased,1998,
964,Every Child Can Succeed 4,Lightspan,Lightspan,Unreleased,Unreleased,1998,
965,Every Child Can Succeed 5,Lightspan,Lightspan,Unreleased,Unreleased,1998,
966,Every Child Can Succeed 6,Lightspan,Lightspan,Unreleased,Unreleased,1998,
967,Every Child Can Succeed 7,Lightspan,Lightspan,Unreleased,Unreleased,1998,
968,Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Unreleased,"June 22, 2001","December 4, 2000",
969,Evil Zone•EretzvajuJP,Yuke's,Titus Interactive,"January 14, 1999",1999,"May 31, 1999",
970,Evo's Space Adventures,Runecraft,Take 2 Interactive,Unreleased,June 2000,Unreleased,
971,Exalegiuse,Kogado Studio,Imagineer,"February 5, 1998",Unreleased,Unreleased,
972,Excalibur 2555 AD,Telstar Electronic Studios Ltd,Telstar Electronic Studios Ltd,Unreleased,March 1997,"September 30, 1997",
973,Exector,Arc System Works,Arc System Works,"September 22, 1995",Unreleased,Unreleased,
974,Exodus Guilty,Abel Software,Imadio,"November 26, 1998",Unreleased,Unreleased,
975,Expendable,Rage Software,Infogrames,Unreleased,Unreleased,"April 22, 2000",
976,Expert,Nihon Bussan,Nihon Bussan,"May 31, 1996",Unreleased,Unreleased,
977,Explosive Racing•X.RacingJP,Toka,FunsoftPALNichibutsuJP,"February 11, 1998","December 5, 1997",Unreleased,
978,Extra Bright,To One,ASCII Entertainment,"December 6, 1996",Unreleased,Unreleased,
979,Extreme 500,Ascaron,THQ,Unreleased,"March 15, 2000",Unreleased,
980,Extreme Ghostbusters: Ultimate Invasion,Similis,LSP,Unreleased,March 2004,Unreleased,
981,Extreme Go-Kart Racing•Kart Race - Kimete wa Drift!JP,Now Production,Agetec,"December 7, 2000",Unreleased,"September 22, 2003",
982,Extreme Pinball,Epic Games,Electronic Arts,Unreleased,April 1996,"March 28, 1996",
983,Extreme Power,Profire,CS,"May 31, 1996",Unreleased,Unreleased,
984,F-1 Grand Prix 1996: Team Unei Simulation,Tomcat System,Coconuts Japan,"January 17, 1997",Unreleased,Unreleased,
985,F1 2000,Visual Sciences,Electronic Arts,"January 6, 2000","June 10, 2000","March 31, 2000",
986,F1 Championship Season 2000,Visual Sciences,Electronic Arts,Unreleased,"November 24, 2000","September 30, 2000",
987,F1 Racing Championship,Ubisoft,Video System,Unreleased,"April 30, 2000","October 11, 2000",
988,F1 World Grand Prix 2000,Eutechnyx,Eidos Interactive,Unreleased,"March 23, 2001",Unreleased,
989,F1 World Grand Prix: 1999 Season,"Lankhor, Video System",Eidos Interactive,Unreleased,2001,"March 30, 2001",
990,FA Manager,Krisalis Software,Eidos Interactive,Unreleased,"September 8, 2000 (needs original release date)",Unreleased,
991,The FA Premier League Football Manager 2000,Krisalis Software,Electronic Arts,Unreleased,October 1999,Unreleased,
992,The FA Premier League Football Manager 2001,Electronic Arts,Electronic Arts,Unreleased,September 2000,Unreleased,
993,FA Premier League Stars,"Electronic Arts, Software Creations (PAL)",Electronic Arts,Unreleased,1999,Unreleased,
994,FA Premier League Stars 2001,Electronic Arts,Electronic Arts,Unreleased,2000,Unreleased,
995,Fade to Black,Delphine Software,Electronic Arts,"May 2, 1997",July 1996,"June 28, 1996",
996,Faire Games: Language Arts,Lightspan,Lightspan,Unreleased,Unreleased,1998,
997,Faire Games: Mathematics,Lightspan,Lightspan,Unreleased,Unreleased,1998,
998,Falcata,Gust,Gust,"June 23, 1995",Unreleased,Unreleased,
999,Family Bowling•Wai Wai BowlingJP,Nihon Bussan,Nihon Bussan,"August 6, 1998",Unreleased,Unreleased,
1000,Family Chess,Magnolia,Magnolia,"March 20, 2002",Unreleased,Unreleased,
1001,Family Connection Demonstration,Lightspan,Lightspan,Unreleased,Unreleased,1998,
1002,Family Card Game Fun Pack•Card SharkPAL•Trump Shiyouyo!JP•Trump Shiyouyo! Fukkoku-banJP,Bottom Up,Mud Duck ProductionsMidas Interactive EntertainmentPALBottom UpJPPure SoundJP,"October 15, 1998August 5, 1999October 5, 2000","February 16, 2001","September 26, 2002",
1003,Family Diamond,Magnolia,Magnolia,"January 24, 2002",Unreleased,Unreleased,
1004,Family Feud,Artech Studios,Hasbro Interactive,Unreleased,Unreleased,"October 16, 2000",
1005,Family Game Pack,The 3DO Company,The 3DO Company,Unreleased,Unreleased,"March 14, 2000",
1006,Family Games Compendium,Interactive Entertainment,Midas Interactive Entertainment,Unreleased,"June 30, 2001",Unreleased,
1007,Family Gunjin Shogi,Magnolia,Magnolia,"March 20, 2002",Unreleased,Unreleased,
1008,Family Igo 2,Magnolia,Magnolia,"November 21, 2002",Unreleased,Unreleased,
1009,Family Igo: Super Strong,Magnolia,Magnolia,"January 24, 2002",Unreleased,Unreleased,
1010,Family Mahjong 2,Magnolia,Magnolia,"November 21, 2002",Unreleased,Unreleased,
1011,Family Shogi: Super Strong,Magnolia,Magnolia,"January 24, 2002",Unreleased,Unreleased,
1012,The FamiRes,Artdink,Artdink,"December 3, 1998",Unreleased,Unreleased,
1013,FamiRes e Youkosou!,Bec,Bec,"November 5, 1998",Unreleased,Unreleased,
1014,The FamiRes: Shijou Saikyou no Menu,Human Entertainment,Human Entertainment,"December 17, 1998",Unreleased,Unreleased,
1015,Fantastep,Jaleco,Jaleco,"April 25, 1997",Unreleased,Unreleased,
1016,Fantastic Fortune,Fujitsu,CyberFront,"May 24, 2001",Unreleased,Unreleased,
1017,Fantastic Four,Acclaim,Acclaim,"February 19, 1998",August 1997,"September 30, 1997",
1018,Fantastic Pinball Kyuutenkai,Technosoft,Technosoft,"March 31, 1995",Unreleased,Unreleased,
1019,Farland Saga: Toki no Michishirube,TGL,TGL,"April 28, 1999",Unreleased,Unreleased,
1020,Farland Story: Yottsu no Fuuin,TGL,TGL,"November 27, 1997",Unreleased,Unreleased,
1021,Fatal Fury: Wild Ambition,SNK,SNK,"June 24, 1999",Unreleased,"November 30, 1999",
1022,Favorite Dear,NEC Interchannel,NEC Interchannel,"February 25, 1999",Unreleased,Unreleased,
1023,Favorite Dear: Enkan no Monogatari,NEC Interchannel,NEC Interchannel,"September 27, 2001",Unreleased,Unreleased,
1024,Favorite Dear: Junpaku no Yogensha,NEC Interchannel,NEC Interchannel,"December 7, 2000",Unreleased,Unreleased,
1025,Fear Effect,Kronos Digital Entertainment,Eidos Interactive,Unreleased,"August 3, 2000","February 24, 2000",
1026,Fear Effect 2: Retro Helix,Kronos Digital Entertainment,Eidos Interactive,"November 15, 2001","March 23, 2001","February 21, 2001",
1027,FEDA 2: White Surge the Platoon,Max Entertainment,Yanoman,"April 18, 1997",Unreleased,Unreleased,
1028,Felony 11-79,Climax Entertainment,ASCII Entertainment,"May 23, 1997",December 1997,"August 31, 1997",
1029,Fever,Ichikawa,Ichikawa,"November 11, 1999",Unreleased,Unreleased,
1030,Fever 2,ICS,ICS,"May 2, 2000",Unreleased,Unreleased,
1031,Fever 3,ICS,ICS,"November 2, 2000",Unreleased,Unreleased,
1032,Fever 4,ICS,ICS,"March 8, 2001",Unreleased,Unreleased,
1033,Fever 5,ICS,ICS,"September 20, 2001",Unreleased,Unreleased,
1034,FIFA 96,EA Canada,Electronic Arts,Unreleased,"December 1995AU,DE,PAL","November 22, 1995",
1035,FIFA 97,EA Canada,Electronic Arts,"June 20, 1997",November 1996,"November 30, 1996",
1036,FIFA: Road to World Cup 98,EA Canada,Electronic Arts,Unreleased,"November 1997DE,PAL",December 1997,
1037,FIFA 99,EA Canada,Electronic Arts,"August 26, 1999","December 8, 1998","November 30, 1998",
1038,FIFA 2000,EA Canada,Electronic Arts,Unreleased,November 1999,"October 9, 1999",
1039,FIFA 2001,EA Canada,Electronic Arts,Unreleased,"November 3, 2000","November 14, 2000",
1040,FIFA 2002,EA Canada,Electronic Arts,Unreleased,"November 2, 2001","November 1, 2001",
1041,FIFA Football 2003,EA Canada,Electronic Arts,Unreleased,"November 1, 2002","November 11, 2002",
1042,FIFA Football 2004,EA Canada,Electronic Arts,Unreleased,"October 24, 2003","November 4, 2003",
1043,FIFA 2005,EA Canada,Electronic Arts,Unreleased,"October 15, 2004","October 12, 2004",
1044,The Fifth Element,Kalisto Entertainment,SCEE,Unreleased,"October 1, 1998","September 30, 1998",
1045,Fighter Maker•3D Kakutou TsukuruJP,ASCII Entertainment,"Agetec Inc., ASCII EntertainmentJP","July 30, 1998",1999,"May 31, 1999",
1046,Fighter's Impact,Taito Corporation,Taito Corporation,"April 25, 1997",Unreleased,Unreleased,
1047,Fighting Eyes,Bandit,Solan,"December 17, 1998",Unreleased,Unreleased,
1048,Fighting Force•Metal FistJP,Core Design,Eidos Interactive,"January 15, 1998",November 1997,"October 31, 1997",
1049,Fighting Force 2,Core Design,Eidos Interactive,Unreleased,December 1999,"November 30, 1999",
1050,Fighting Illusion K-1 GP 2000,Daft,Xing Entertainment,"October 5, 2000",Unreleased,Unreleased,
1051,Fighting Illusion V: K-1 Grand Prix '99,Daft,Xing Entertainment,"September 30, 1999",Unreleased,Unreleased,
1052,Fighting Network RINGS,Naxat Soft,Naxat Soft,"August 7, 1997",Unreleased,Unreleased,
1053,Final Doom,Williams Entertainment,GT Interactive,Unreleased,"October 2, 1997","October 1, 1996",
1054,Final Fantasy I•Final Fantasy OriginsPALNA,Square,Squaresoft,"October 31, 2002","October 31, 2002","October 31, 2002",
1055,Final Fantasy II•Final Fantasy OriginsPALNA,Square,Square,"October 31, 2002","October 31, 2002","October 31, 2002",
1056,Final Fantasy IV,Square,Square,"March 21, 1997",Unreleased,Unreleased,
1057,Final Fantasy V,Square,Squaresoft,"March 19, 1998",Unreleased,Unreleased,
1058,Final Fantasy VI,Tose,SCEE,"March 11, 1999","March 1, 2002","September 30, 1999",
1059,Final Fantasy VII,Square,"SCEEPAL, Square Co., Ltd.JP, SCEANA","January 31, 1997","November 14, 1997","September 7, 1997",
1060,Final Fantasy VIII,Square,"SCEEPAL, Square Co., Ltd.JP, Square Electronic ArtsUS","February 11, 1999","October 27, 1999","September 9, 1999",
1061,Final Fantasy IX,Square,"SCEEPAL, Square Co., Ltd.JP, Square Electronic ArtsUS","July 7, 2000","February 16, 2001","November 13, 2000",
1062,Final Fantasy Tactics,SquareSoft,"SquareSoftJP, SCEANA","June 20, 1997",Unreleased,"January 28, 1998",[61]
1063,Final Round,Atlus,Atlus,"March 12, 1998",Unreleased,Unreleased,
1064,The Final Round•Konami Open GolfEU,Konami,Konami,"June 21, 1996",November 1996,"August 31, 1996",
1065,Finger Flashing,Affect,Affect,"July 15, 1999",Unreleased,Unreleased,
1066,The Firemen 2: Pete & Danny,Human Entertainment,Human Entertainment,"December 22, 1995",Unreleased,Unreleased,
1067,Fire ProWrestling G,S-Neo,Human Entertainment,"June 24, 1999",Unreleased,Unreleased,
1068,Fire Pro Wrestling: Iron Slam '96,Human Entertainment,Human Entertainment,"March 15, 1996",Unreleased,Unreleased,
1069,Firebugs,Attention to Detail,Sony Computer Entertainment,Unreleased,"October 18, 2002",Unreleased,
1070,Firestorm: ThunderHawk 2•ThunderStrike 2NA,Core Design,Core Design Victor Interactive SoftwareJP,"May 24, 1996","December 4, 1995","December 4, 1995",
1071,Fire Woman Matoigumi,HuneX,Tokuma Shoten,"March 26, 1998",Unreleased,Unreleased,
1072,Firo & Klawd,Interactive Studios,BMG Interactive,"June 13, 1997",November 1996,Unreleased,
1073,First Kiss Story,HuneX,Human Entertainment,"April 24, 1998",Unreleased,Unreleased,
1074,First Queen IV: Varcia Senki,Kure,Kure,"December 6, 1996",Unreleased,Unreleased,
1075,Fish On! Bass,Pony Canyon,Pony Canyon,"September 22, 1999",Unreleased,Unreleased,
1076,Fisherman's Bait: A Bass Challenge•Exciting BassJP,Konami,Konami,"September 23, 1998",Unreleased,"January 31, 1999",
1077,Fisherman's Bait 2: Big Ol' Bass•Exciting Bass 2JP,Konami,Konami Computer Entertainment Nagoya,"September 30, 1999",Unreleased,"November 24, 1999",
1078,Fishing Club: Boat no Tsuriken,Success,Success,"August 24, 2000",Unreleased,Unreleased,
1079,Fishing Club: Bouhatei no Tsuriken,Success,Success,"August 24, 2000",Unreleased,Unreleased,
1080,Fishing Club: Hama no Tsuriken,Success,Success,"August 24, 2000",Unreleased,Unreleased,
1081,Fishing Freaks: BassRise Plus,Bandai,Bandai,"February 3, 2000",Unreleased,Unreleased,
1082,Fishing Koushien II,A-Wave,King Records,"September 22, 1999",Unreleased,Unreleased,
1083,FIST,Genki,Imagineer,"November 22, 1996",Unreleased,Unreleased,
1084,Flamberge no Seirei,Kid,Kid,"April 27, 2000",Unreleased,Unreleased,
1085,The Flintstones: Bedrock Bowling,Adrenalin Interactive,Ubisoft,Unreleased,"August 18, 2000","September 19, 2000",
1086,Floating Runner,Kokopel,THQ,"January 19, 1996",1996,"October 26, 1996",
1087,Flying Squadron,Naps Team,Phoenix Games,Unreleased,2003,Unreleased,
1088,Football Madness,Naps Team,Phoenix Games,Unreleased,"March 28, 2003",Unreleased,
1089,Ford Racing,Toolbox Design,Empire Interactive,Unreleased,"February 16, 2001","March 6, 2001",
1090,Ford Truck Mania,"Alpine Studios, Inc.",Gotham Games,Unreleased,Unreleased,"September 16, 2003",
1091,Forget Me Not: Palette,Enterbrain,Enterbrain,"April 26, 2001",Unreleased,Unreleased,
1092,Formation Soccer '97: The Road To France,Human Entertainment,Human Entertainment,"June 27, 1997",Unreleased,Unreleased,
1093,Formation Soccer '98: Ganbare Nippon in France,Human Entertainment,Human Entertainment,"June 4, 1998",Unreleased,Unreleased,
1094,Formula 1,Bizarre Creations,Psygnosis,Unreleased,"September 1, 1997","September 30, 1996",
1095,Formula 1 98,Visual Sciences,Psygnosis,Unreleased,"October 30, 1998","November 30, 1998",
1096,"Formula 1: Championship Edition•Formula 1 97EU,JP",Bizarre Creations,Psygnosis,"January 15, 1998","September 26, 1997","September 30, 1997",
1097,Formula Circus,Nihon Bussan,Nihon Bussan,"May 2, 1997",Unreleased,Unreleased,
1098,Formula GP,Kung Fu Games,Midas Interactive,Unreleased,"February 21, 2003",Unreleased,
1099,Formula Grand Prix: Team Unei Simulation 2 - 1997 Han,Tomcat System,Coconuts Japan,"December 25, 1997",Unreleased,Unreleased,
1100,Formula Karts Special Edition,Manic Media Productions,Telstar Electronic Studios,Unreleased,"November 21, 1997",Unreleased,
1101,Formula Nippon '99JPFormula NipponPAL,TYO,TYOJPEONPAL,"September 9, 1999",2000,Unreleased,
1102,Formula One 99,Studio 33,Psygnosis/SCEE,"October 21, 1999","October 20, 1999","October 31, 1999",
1103,Formula One 2000,Studio 33,SCEE,Unreleased,"October 6, 2000","October 4, 2000",
1104,Formula One 2001,Studio 33,SCEE,Unreleased,"May 24, 2001",Unreleased,
1105,Formula One Arcade,Studio 33,SCEE,Unreleased,"July 19, 2001",Unreleased,
1106,Forsaken,Probe Entertainment,Acclaim,Unreleased,April 1998BE April 1998FR April 1998NL April 1998PAL,"April 30, 1998",
1107,Fox Hunt,3Vision Games,Capcom,Unreleased,Unreleased,"September 30, 1996",
1108,Fox Junction,Trips,Trips,"April 29, 1998",Unreleased,Unreleased,
1109,FoxKids.com Micro Maniacs RacingNA•Denku Sekka Micro RunnerJP•Micro ManiacsPAL,Codemasters,THQ,"November 2, 2000","April 14, 2000","October 2, 2000",
1110,Fox Sports Soccer '99,Gremlin Interactive,Fox Interactive,Unreleased,Unreleased,"June 30, 1998",
1111,Frank Thomas Big Hurt Baseball,Iguana Entertainment,Acclaim,"September 13, 1996",October 1996,"June 5, 1996",
1112,Freestyle Boardin' '99•Phat Air: Extreme SnowboardingPAL•Zap! Snowboarding Trix '98JP,Atelier Double,"Capcom, FunsoftPAL, Pony CanyonJP","December 25, 1997",August 1998,"February 28, 1999",
1113,Freestyle Motocross: McGrath vs. Pastrana,Z-Axis,Acclaim,Unreleased,"December 8, 2000","November 5, 2000",
1114,Free Talk Studio: Mari no Kimamana Oshaberi,Media Entertainment,Media Entertainment,"September 25, 1997",Unreleased,Unreleased,
1115,Frenzy!,SCI Entertainment Group,SCI,Unreleased,June 1998,Unreleased,
1116,Frisky Tom,Nichibutsu,Hamster Corporation,"July 25, 2002",Unreleased,Unreleased,
1117,Frogger,SCE Studio Cambridge,Hasbro Interactive,Unreleased,November 1997,"September 30, 1997",
1118,Frogger 2: Swampy's Revenge,Blitz Games,Hasbro Interactive,Unreleased,2000,"October 10, 2000",
1119,From TV Animation - One Piece: Grand Battle!,Ganbarion,"AtariPAL, BandaiJP","March 15, 2001",2003,Unreleased,
1120,From TV Animation - One Piece: Grand Battle! 2,Ganbarion,Bandai,"March 20, 2002",Unreleased,Unreleased,
1121,Front Mission 1st,"Square, G-Craft",Square,"October 23, 2003",Unreleased,Unreleased,
1122,Front Mission 2,Square,Square,"September 25, 1997",Unreleased,Unreleased,
1123,Front Mission 3,Square,"Square Europe (European Release), Square Electronic Arts (USA Release), Square Co., Ltd. (Japanese Release)","September 2, 1999","August 11, 2000","February 29, 2000",
1124,Front Mission: Alternative,Square,Square,"December 18, 1997",Unreleased,Unreleased,
1125,Fun! Fun! Pingu,Sony Music Entertainment Incorporated,Sony Music Entertainment Incorporated,"November 18, 1999",Unreleased,Unreleased,
1126,Furimukeba Tonari Ni,Zero System,Zero System,"April 26, 2001",Unreleased,Unreleased,
1127,Fushigi Deka,Capcom,Capcom,"October 26, 2000",Unreleased,Unreleased,
1128,Fushigi no Kuni no Angelique,Koei,Koei,"February 28, 1997",Unreleased,Unreleased,
1129,Future Cop: LAPD,Electronic Arts,Electronic Arts,"August 5, 1999","September 28, 1998","August 31, 1998",
1130,Future RacerPAL•Defeat LightningJP,D Cruise,"Midas InteractivePAL, D CruiseJP","May 23, 1997","April 12, 2002",Unreleased,
1131,Fuuraiki,Fog,Fog,"January 18, 2001",Unreleased,Unreleased,
1132,Fuuun Gokuu Ninden,Aicom,Aicom,"August 30, 1996",Unreleased,Unreleased,
1133,G-Darius,Taito Corporation,THQ,"April 9, 1998",1998,"September 30, 1998",
1134,G-O-D Pure: Growth or Devolution,Infinity,Imagineer,"February 26, 1998",Unreleased,Unreleased,
1135,G-Police,Psygnosis,Psygnosis,"November 19, 1998","October 15, 1997","September 30, 1997",
1136,G-Police: Weapons of Justice,Psygnosis,Psygnosis,Unreleased,"September 3, 1999","August 31, 1999",
1137,G1 Jockey,Koei,Koei,"March 11, 1999",Unreleased,Unreleased,
1138,G1 Jockey 2000,Koei,Koei,"February 3, 2000",Unreleased,Unreleased,
1139,Gaball Screen,System Sacom,Antinos Records,"December 6, 1996",Unreleased,Unreleased,
1140,Gadget: Past as Future,Synergy Inc.,Synergy Inc.,"November 27, 1997",Unreleased,Unreleased,
1141,Gaia Master,Nexus Interact,Capcom,"April 13, 2000",Unreleased,Unreleased,
1142,GaiaSeed: Project Seed Trap,Techno Soleil,Techno Soleil,"December 13, 1996",Unreleased,Unreleased,
1143,Gakkou Deatta Kowai Hanashi S,Pandora Box,Banpresto,"July 19, 1996",Unreleased,Unreleased,
1144,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,Capcom,Capcom,"August 11, 1995",Unreleased,Unreleased,
1145,Gakkou o Tsukurou!!,Refine Textile,Victor Interactive Software,"December 18, 1997",Unreleased,Unreleased,
1146,Gakkou o Tsukurou!! 2,Groove Box Japan,Victor Interactive Software,"December 10, 1998",Unreleased,Unreleased,
1147,Gakkou o Tsukurou!! Kouchou Sensei Monogatari,Groove Box Japan,Victor Interactive Software,"October 26, 1998",Unreleased,Unreleased,
1148,Gakuen Sentai Solblast,Caravan,Creative Heads,"February 4, 1999",Unreleased,Unreleased,
1149,Galaga: Destination Earth,King of the Jungle,Hasbro Interactive,Unreleased,"September 23, 2000","October 22, 2000",
1150,Galaxian³,High-Tech Lab Japan,Namco,"April 26, 1996","April 26, 1996",Unreleased,
1151,Galaxy Fight: Universal WarriorsJP•Galaxy FightPAL,Sunsoft,Sunsoft,"May 3, 1996","April 30, 1996",Unreleased,
1152,Gale Gunner,ASCII,ASCII,"February 24, 2000",Unreleased,Unreleased,
1153,Galeoz,Pre Stage,Atlus,"December 20, 1996",Unreleased,Unreleased,
1154,Galerians,Polygon Magic,"ASCII EntertainmentJP, Crave EntertainmentPAL,NA","August 26, 1999","April 15, 2000","March 29, 2000",
1155,Gallop Racer,Tecmo,Tecmo,"September 27, 1996",Unreleased,Unreleased,
1156,Gallop Racer 2: The One and Only Road to Victory,Tecmo,Tecmo,"November 20, 1997",Unreleased,Unreleased,
1157,Gallop Racer 3: The One and Only Road to VictoryJP•Gallop RacerNA,Tecmo,Tecmo,"March 18, 1999",Unreleased,"March 17, 1999",
1158,Gallop Racer 2000,Tecmo,Tecmo,"February 17, 2000",Unreleased,Unreleased,
1159,Gambler Jiko Chuushinha: Ippatsu Shoubu!,Game Arts,ESP Software,"June 22, 2000",Unreleased,Unreleased,
1160,Game de Seishun,Kid,Kid,"April 23, 1998",Unreleased,Unreleased,
1161,Game de wa Jimeru TOEIC Test Mazuha Nyuumonhen1500,Graphic Research,Nagase Brothers,"June 5, 2003",Unreleased,Unreleased,
1162,The Game Maker: Ureure 100 Manpon Gettodaze!,Kuusou Kagaku,Axela,"September 23, 1997",Unreleased,Unreleased,
1163,Game Nihonshi: Kakumeiji Oda Nobunaga,Koei,Koei,"April 11, 1997",Unreleased,Unreleased,
1164,Game no Tatsujin,Affect,Sunsoft,"June 9, 1995",Unreleased,Unreleased,
1165,Game no Tatsujin 2,Chat Noir,Sunsoft,"January 10, 1997",Unreleased,Unreleased,
1166,Game no Tatsujin: The Shanghai,Activision,Sunsoft,"October 13, 1995",Unreleased,Unreleased,
1167,The Game of Life,The Collective,Hasbro Interactive,Unreleased,Unreleased,"September 30, 1998",
1168,Game Soft o Tsukurou,Imagineer,Imagineer,"January 28, 1999",Unreleased,Unreleased,
1169,Gamera 2000,Surveyor Corp,Virgin Interactive,"April 25, 1997",Unreleased,Unreleased,
1170,Ganba no Bouken: The Puzzle Action,Ooparts,Bandai,"April 3, 2003",Unreleased,Unreleased,
1171,Ganbare Goemon: Kuru Nara Koi! Ayashige Ikka no Kuroi Kage,Konami Computer Entertainment Nagoya,Konami,"December 23, 1998",Unreleased,Unreleased,
1172,Ganbare Goemon: Ōedo Daikaiten,Konami Computer Entertainment Kobe/Now Production,Konami,"March 29, 2001",Unreleased,Unreleased,
1173,Ganbare Goemon: Uchū Kaizoku Akogingu,Konami,Konami,"March 22, 1996",Unreleased,Unreleased,
1174,Gangway Monsters,SCEI,SCEI,"October 15, 1998",Unreleased,Unreleased,
1175,Ganso! Doubutsu Uranai / Renai Uranai Puzzle,Culture Brain,Culture Brain,"June 30, 2001",Unreleased,Unreleased,
1176,Ganso Family Mahjong,Nichibutsu,Nichibutsu,"May 7, 1998",Unreleased,Unreleased,
1177,Ganso Family Mahjong 2,Nichibutsu,Nichibutsu,"June 3, 1999",Unreleased,Unreleased,
1178,GateKeepers,Kadokawa,Kadokawa,"December 16, 1999",Unreleased,Unreleased,
1179,Gauntlet Legends,Midway Games,Midway Games,Unreleased,"June 28, 2000","February 29, 2000",
1180,Gear Senshi Dendoh,Natsume,Bandai,"April 26, 2001",Unreleased,Unreleased,
1181,Gegege no Kitarō: Gyakushuu! Youkai Daichisen,Konami,Konami,"December 11, 2003",Unreleased,Unreleased,
1182,Gegege no Kitarō: Noroi no Nikuto Katachi Tachi,Bandai,Bandai,"January 24, 1997",Unreleased,Unreleased,
1183,Gekido•Gekido: Urban FightersPAL,Naps Team,Infogrames,Unreleased,2000,"May 18, 2000",
1184,Gekioh: Shooting King,Warashi,Natsume,"May 20, 1999",February 2004,"December 17, 2002",
1185,Gekiretsu Pachinkazu,Planning Office Wada,Planning Office Wada,"February 21, 1997",Unreleased,Unreleased,
1186,Gekisou TomaRunner,SCEI,SCEI,"July 22, 1999",Unreleased,Unreleased,
1187,Gekitotsu Toma L'Arc: Tomarunner vs L'Arc-en-Ciel,SCEI,SCEI,"July 19, 2000",Unreleased,Unreleased,
1188,Gekitou! Crush Gear Turbo,Bandai,Bandai,"July 25, 2002",Unreleased,Unreleased,
1189,Gekka Ni no Kishi: O Ryusen,Banpresto,Banpresto,"September 13, 1996",Unreleased,Unreleased,
1190,Genei Tougi: Shadow Struggle,Racdym,Banpresto,"September 20, 1996",Unreleased,Unreleased,
1191,Genghis Khan: Aoki Ookami to Shiroki Mejika IV,Koei,Koei,"February 25, 1999",Unreleased,Unreleased,
1192,Gensō Suikogaiden Vol. 1: Harmonia no Kenshi,KCET,Konami,"September 21, 2000",Unreleased,Unreleased,
1193,Gensō Suikogaiden Vol. 2: Crystal Valley no Kettou,Konami,Konami,"March 22, 2001",Unreleased,Unreleased,
1194,Gensou Maden Saiyuuki: Harukanaru Nishi e,J-Wing,J-Wing,"December 26, 2002",Unreleased,Unreleased,
1195,Gensou no Artemis: Actress School Mystery Adventure,Shoeisha,Shoeisha,"January 27, 2000",Unreleased,Unreleased,
1196,Geom Cube,Technos Japan,"JP Technos Japan, NA Technos","December 22, 1994",Unreleased,"December 10, 1995",
1197,Geometry Duel,Takara,Takara,"October 29, 1998",Unreleased,Unreleased,
1198,Germs,KAJ,KAJ,"July 22, 1999",Unreleased,Unreleased,
1199,GetBackers Dakkanya,Konami,Konami,"July 26, 2001",Unreleased,Unreleased,
1200,Getter Robo Daikessen!,TechnoSoft,Bandai,"September 9, 1999",Unreleased,Unreleased,
1201,Gex,Crystal Dynamics,Crystal Dynamics,"March 8, 1996",April 1996,"December 13, 1995",
1202,Gex: Enter the Gecko•Gex 3D: Enter the GeckoUK•Gex 3D: Return of the GeckoPAL•SpinTailJP,Crystal Dynamics,"Midway GamesNA,Crystal DynamicsPAL",Unreleased,January 1998,"February 24, 1998",
1203,Gex 3: Deep Cover Gecko•Gex: Deep Cover GeckoPAL,Eidos Interactive,Crystal Dynamics,Unreleased,April 1999,"March 23, 1999",
1204,Ghost in the Shell,"Exact Co., Ltd.","THQNA, Sony Computer Entertainment","July 17, 1997",July 1998,"November 1, 1997",
1205,Ghoul Panic,Eighting/Raizing,"NamcoJP, SCEEPAL","April 20, 2000",April 2000,Unreleased,
1206,Ginga Eiyuu Densetsu,Microvision,Tokuma Shoten,"May 28, 1998",Unreleased,Unreleased,
1207,Ginga Ojousama Densetsu Yuna: Final Edition,Hudson,Hudson,"June 25, 1998",Unreleased,Unreleased,
1208,Gionbana,Nichibutsu,Nihon Bussan,"December 15, 1995",Unreleased,Unreleased,
1209,Gionbana 2,Nichibutsu,Nihon Bussan,"February 4, 1999",Unreleased,Unreleased,
1210,Glint Glitters,Konami,Konami,"July 20, 1999",Unreleased,Unreleased,
